epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,0.9523366963863373,0.46972191432277915,0.9461568212509155,0.5891203502376257,0.7363596813435255
1,0.0001,0.8410952317714692,0.6628773723560027,0.8760970187187195,0.49781534963388396,0.6611427110748963
2,0.0001,0.745671216249466,0.7101158097836533,0.78511399269104,0.5776721871594013,0.7286126041723024
3,0.0001,0.6629414921998977,0.7225799592522791,0.6568928933143616,0.7168996059052469,0.8330761397860202
4,0.0001,0.5861262348294258,0.7348420434220349,0.5906990087032318,0.7231701146974027,0.836873725315354
5,0.0001,0.5185410407185554,0.7467121486998497,0.5327575027942657,0.7230367326699799,0.8372274620529321
6,0.0001,0.4586894792318344,0.7553461428530756,0.45270161271095277,0.7446485467886584,0.8512783623104744
7,0.0001,0.40146841362118724,0.7651631205581901,0.3938092911243439,0.7702208617089061,0.868430829781587
8,0.0001,0.3655165222287178,0.7633612784267357,0.3726458716392517,0.7535452583130072,0.8561673472573095
9,0.0001,0.3277218447625637,0.7722197636214717,0.3576244330406189,0.7181543791546516,0.831812546543057
10,0.0001,0.3102953250706196,0.7713330627915357,0.3121394920349121,0.7665101288499128,0.86632960201838
11,0.0001,0.2762526175379753,0.7866483784690566,0.294424883723259,0.7779942665574038,0.8736970525033445
12,0.0001,0.2746890138089657,0.7837186474992582,0.32358867406845093,0.7234086545907462,0.8359048025577994
13,0.0001,0.2566660302877426,0.7887984601513375,0.287135591506958,0.7709059524896925,0.8687147487780331
14,0.0001,0.2562200055271387,0.7859419451418169,0.2993034738302231,0.7643227665336739,0.8644331085222109
15,0.0001,0.2541078487038612,0.7878308353991076,0.3536635571718216,0.7260434466903954,0.8392978806888901
16,0.0001,0.24523496195673944,0.7951183166110686,0.2817709457874298,0.7693413130120677,0.867740493381006
17,0.0001,0.24455225452780724,0.7935735109721136,0.27390211999416353,0.7610746486929422,0.86185987099727
18,0.0001,0.23751047670841216,0.8003830749647727,0.30209796607494355,0.7461041081285928,0.8519441781439024
19,0.0001,0.23076485723257065,0.8057289674498672,0.2643934243917465,0.7765905891058646,0.8720726810090612
20,0.0001,0.22923176698386669,0.8051227619031022,0.320975478887558,0.7331501618246772,0.8433150577439374
21,0.0001,0.22592049077153206,0.8038990052912718,0.2576772278547287,0.78494445833145,0.8771968317811043
22,0.0001,0.22280284948647022,0.8068141083666899,0.2472880971431732,0.7931613932405955,0.882913440349175
23,0.0001,0.21868757545948028,0.8134669193429194,0.2621791708469391,0.7823736928138625,0.876164532422947
24,0.0001,0.21439078360795974,0.8174775946826629,0.24329018712043762,0.789783021613572,0.8803958898087869
25,0.0001,0.2059446970373392,0.8173426420958204,0.23986334800720216,0.7950182986888974,0.8841636743628524
